Width (km);Thickness (max m);Attached;Fan;Architectural type;Equation;;;;
0.12;3.00;1;;;;;;;
0.08;0.40;1;;;;;;;
0.08;0.50;1;;;;;;;
0.07;0.55;1;;;;;;;
0.19;0.60;1;;;;;;;
0.15;0.50;1;;;;;;;
0.10;0.60;1;;;;;;;
0.10;0.80;1;;;;;;;
0.13;0.90;1;;;;;;;
0.20;1.00;1;;;;;;;
0.17;1.60;1;;;;;;;
0.10;0.69;1;;;;;;;
0.68;1.58;1;;;;;;;
0.14;0.86;1;;;;;;;
0.50;1.10;1;;;;;;;
0.37;1.68;1;;;;;;;
0.14;1.28;1;;;;;;;
0.21;1.80;1;;;;;;;
1.17;1.90;1;;;;;;;
0.55;1.20;1;;;;;;;
0.27;2.00;1;;;;;;;
0.26;1.83;1;;;;;;;
0.06;0.88;1;;;;;;;
0.10;1.60;1;;;;;;;
0.42;1.38;1;;;;;;;
0.19;2.20;1;;;;;;;
1.27;2.24;1;;;;;;;
0.25;1.40;1;;;;;;;
1.10;1.55;1;;;;;;;
0.52;1.74;1;;;;;;;
0.66;1.19;1;;;;;;;
0.60;1.23;1;;;;;;;
0.40;0.50;1;;;;;;;
0.28;0.32;1;;;;;;;
0.92;2.24;1;;;;;;;
0.17;0.96;1;;;;;;;
1.18;2.40;1;;;;;;;
0.57;1.80;1;;;;;;;
0.70;2.82;1;;;;;;;
0.20;0.87;1;;;;;;;
0.42;0.73;1;;;;;;;
0.27;1.32;1;;;;;;;
0.20;1.74;1;;;;;;;
0.42;1.97;1;;;;;;;
0.05;1.05;1;;;;;;;
0.04;0.70;1;;;;;;;
0.07;1.14;1;;;;;;;
0.36;1.69;1;;;;;;;
0.18;1.37;1;;;;;;;
0.71;1.46;1;;;;;;;
0.14;0.69;1;;;;;;;
